fsd_no;fsd_vr;fsd_id;Q1A_1;Q1A_2;Q1A_3;Q1A_4;Q1A_5;Q1A_6;Q1A_7;Q1A_8;Q1A_9;Q1A_10;Q1A_11;Q1A_12;Q1A_13;Q1A_14;Q1A_15;Q1A_16;Q1A_17;Q1A_18;Q1A_19;Q1A_20;Q1B_1;Q1B_2;Q1B_3;Q1B_4;Q1B_5;Q1B_6;Q1B_7;Q1B_8;Q1B_9;Q1B_10;Q1B_11;Q1B_12;Q1B_13;Q1B_14;Q1B_15;Q1B_16;Q1B_17;Q1B_18;Q1B_19;Q1B_20;Q1C_1;Q1C_2;Q1C_3;Q1C_4;Q1C_5;Q1C_6;Q1C_7;Q1C_8;Q1C_9;Q1C_10;Q1C_11;Q1C_12;Q1C_13;Q1C_14;Q1C_15;Q1C_16;Q1C_17;Q1C_18;Q1C_19;Q1C_20;Q2_1;Q2_2;Q2_3;Q2B_1;Q2B_2;Q2B_3;Q2C;Q3_1;Q3_2;Q3_3;Q3_4;Q3_5;Q3_6;Q3_7;Q3_8;Q3_9;Q3_10;Q3_11;Q3_12;Q3_13;Q3_14;Q3_15;Q4_1;Q4_2;Q4_3;Q4_4;Q4_5;Q4_6;Q4_7;Q4_8;Q4_9;Q4_10;Q4_11;Q4_12;Q4_13;Q4_14;Q5;Q6_1;Q6_2;Q6_3;Q6_4;Q6_5;Q6_6;Q6_7;Q6_8;Q7_1;Q7_2;Q7_3;Q7_4;Q7_5;Q7_6;Q7_7;Q7_8;Q7_9;Q7_10;Q7_11;Q7_12;Q7_13;Q7_14;Q7_15;Q8_1;Q8_2;Q8_3;Q9_1;Q9_2;Q9_3;Q9_4;Q9_5;Q9_6;Q9_7;Q9_8;Q9_9;Q9_10;Q9_11;Q9_12;Q9_13;Q9_14;Q9_15;Q9_16;Q9_17;Q9_18;Q9_19;Q9_20;Q9_21;Q9_22;Q9_23;Q9_24;Q9_25;Q9_26;Q9_27;Q9_28;Q9_29;Q9_30;Q9_31;Q9_32;Q9_33;Q10_1;Q10_2;Q10_3;Q10_4;Q10_5;Q10_6;Q10_7;Q10_8;Q10_9;Q10_10;Q10_11;Q10_12;Q10_13;Q10_14;Q11A;Q11B;Q12_1;Q12_2;Q12_3;Q12_4;Q12_5;Q12_6;Q12_7;Q12_8;Q12_9;Q12_10;Q12_11;Q12_12;Q12_13;Q12_14;Q12_15;Q12_16;Q12_17;Q12_18;Q12_19;Q12_20;Q12_21;Q12_22;Q12_23;Q12_24;Q12_25;Q12_26;Q12_27;Q12_28;Q12_29;Q12_30;Q12_31;Q12_32;Q13A;Q13B;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T12B;T13;T14;T15;bv2;bv1;kunta;paino
3780;1;134;2;3;4;4;5;2;3;1;4;4;2;4;4;3;3;4;4;2;2;3;4;4;2;3;4;3;2;2;4;2;2;2;3;4;4;3;2;4;3;2;3;4;3;2;2;4;2;4;3;2;3;2;3;3;4;3;4;4;4;1;2;1;2;2;1;2;6;2;1;1;4;1;4;2;1;3;5;5;5;5;2;2;1;1;2;2;2;2;2;1;1;1;2;2;3;3;2;2;3;6;2;3;2;3;4;4;2;2;2;2;3;4;3;2;3;2;4;2;3;2;3;4;2;1;2;1;2;2;2;4;4;4;4;2;4;4;4;2;4;4;4;4;4;4;2;2;2;4;4;4;4;4;4;2;4;4;2;2;3;2;2;2;2;1;2;2;2;4;2;2;1;1;1;4;1;1;3;1;4;1;1;1;4;1;1;1;1;3;4;4;3;1;4;1;3;4;1;1;1;4;4;4;4;3;2;1;2;4;4;1;4;1;1;2;3;4;3;1; ;12;3;2;1973;3;927;,3625244
3780;1;135;4;4;2;3;4;2;3;1;4;5;2;5;1;2;2;4;4;4;1;1;2;5;2;3;4;4;2;4;4;2;3;4;2;1;2;4;2;2;4;2;4;5;1;1;1;2;1;2;1;3;2;1;4;1;3;4;2;4;1;5;2;2;1;2;2;2;3;4;2;2;2;2;4;2;5;3;2;3;4;2;3;4;3;2;1;3;1;2;2;2;2;2;2;1;4;3;3;1;3;5;2;3;1;2;3;4;2;1;1;1;1;3;2;1;5;1;4;2;4;1;1;4;1;1;2;1;1;1;1;5;5;1;5;1;4;4;4;2;4;2;4;5;5;5;4;4;2;4;1;2;4;2;2;4;5;2;5;5;2;2;4;5;2;2;5;4;5;2;4;5;3;1;2;3;3;1;3;3;3;3;2;1;2;3;3;1;1;3;3;2;3;1;3;1;3;3;1;2;1;2;4;3;2;3;5;3;1;2;4;14;4;1;1;2;4;1;2;1; ;9;3;1;1989;5;905;3,046379962
3780;1;136;1;2;2;4;5;1;2;4;4;1;3;2;3;3;2;2;3;2;3;4;5;1;3;3;2;3;3;2;2;2;3;2;4;4;2;5;2;4;2;4;1;1;1;4;4;1;4;3;4;1;2;3;2;4;2;4;3;3;4;4;3;3;2;3;3;3;1;2;2;3;2;4;4;2;4;4;4;4;4;4;4;4;1;1;4;5;3;4;1;3;2;3;2;2;4;4;2;2;2;4;2;3;2;2;3;4;2;3;2;3;2;5;2;2;3;2;4;2;1;3;2;2;2;2;2;1;4;1;1;4;5;1;5;1;4;4;4;4;2;2;2;5;4;4;2;3;2;4;4;5;4;4;4;5;4;5;4;1;3;4;3;1;2;1;5;2;3;4;5;3;2;1;1;4;1;1;4;1;4;4;4;1;2;1;1;1;4;1;2;1;4;1;2;1;2;4;1;2;1;1;1;4;4;2;2;2;1;5;5;1;2;4;1;3;6;3;4;1; ;10;3;1;1955;11;91;,301942
3780;1;137;1;2;4;4;4;1;2;1;4;3;2;4;2;2;2;3;4;3;4;2;5;2;4;2;2;3;2;2;2;2;4;2;3;2;2;5;4;4;4;4;2;3;4;4;2;2;3;4;3;1;4;3;3;4;2;2;4;2;5;5;4;2;3;2;2;2;4;2;2;4;4;4;4;2;5;5;5;5;5;4;3;4;1;1;5;5;3;1;3;4;2;4;1;3;5;5;2;2;2;4;2;3;3;4;3;4;3;3;2;4;4;5;4;2;3;2;2;4;3;4;2;4;4;2;2;2;2;1;4;2;4;4;4;5;5;3;5;5;4;4;2;4;2;5;4;5;2;5;5;5;5;5;5;4;4;4;3;1;3;1;4;1;1;4;4;3;1;5;5;5;1;1;1;3;3;1;3;2;3;1;2;1;3;2;2;1;1;3;3;1;3;3;3;1;3;2;3;3;1;1;3;3;2;3;2;3;1;6;4;2;7; ; ;3;4;8;2;1; ;1;3;1;1946;3;202;,3486812
3780;1;138;1;3;2;5;3;1;4;3;4;2;5;3;4;3;2;2;2;2;2;2;4;4;4;5;3;3;3;1;1;4;3;2;4;4;3;5;4;5;3;5;2;1;2;2;3;4;2;2;3;5;3;2;2;3;2;4;1;1;4;4;3;3;3;2;2;2;1;1;1;1;4;3;4;2;3;4;4;5;5;3;3;4;2;1;5;5;2;3;2;2;1;5;2;3;5;5;3;2;2;3;2;5;3;3;3;3;2;2;2;3;2;5;3;3;4;4;4;3;5;2;2;4;2;1;1;1;1;1;5;2;2;2;1;4;5;5;5;4;4;5;4;4;2;2;2;4;2;2;2;2;2;4;4;4;5;5;2;2;2;2;2;1;2;2;2;3;3;4;2;2;4;3;1;3;3;1;2;1;3;3;2;1;3;3;3;1;1;3;3;3;3;3;3;1;3;3;1;1;1;1;3;3;3;3;3;3;2;5;5;5;2;4;1;3;6;8;4;2;3;5;3;1;1959;11;837;,411633116
3780;1;139;5;5;5;2;5;5;2;1;4;5;1;3;2;3;2;2;4;5;2;1;4;5;5;2;5;5;1;5;2;2;1;4;1;1;2;5;5;1;1;2;1;5;1;1;1;1;1;2;1;2;1;1;5;1;1;2;4;1;1;5;1;1;1;1;1;1;2;2;2;1;1;1;1;1;1;5;1;1;5;1;4;5;2;2;1;1;1;1;2;2;1;1;1;1;1;1;4;1;3;4;2;1;1;5;5;1;1;1;1;2;3;2;5;1;5;5;5;2;4;1;2;5;1;1;2;1;1;1;1;2;4;1;4;1;4;5;5;5;1;1;5;5;5;4;5;1;5;5;5;5;4;1;1;4;5;1;5;5;4;4;5;5;4;5;5;1;5;5;5;5;2;1;1;1;1;1;1;1;1;3;3;1;2;3;3;1;1;3;2;1;3;2;1;1;3;3;2;2;1;1;1;3;1;3;5;3;1;2;2;2;4;1;1;2;3;4;2;1; ;2;1;1;1994;7;636;,356112152
3780;1;140;3;3;2;5;4;4;3;2;3;2;2;4;2;2;2;3;3;2;4;1;4;4;4;1;3;4;4;2;3;3;3;2;3;2;3;4;2;3;4;5;4;3;2;4;2;2;2;4;2;1;2;1;3;2;3;4;3;4;4;5;3;2;2;2;2;2;4;1;1;1;1;2;2;1;1;2;1;5;4;4;4;5;1;1;3;5;6;2;3;3;1;4;1;2;4;4;2;2;3;3;2;3;2;4;4;3;3;3;2;3;2;5;2;2;4;3;3;2;4;3;2;4;2;3;3;3;3;1;1;4;5;2;5;2;3;5;5;3;3;2;2;3;2;4;1;2;3;2;2;3;2;2;2;4;3;3;1;2;3;3;2;3;3;2;3;3;4;1;3;4;1;1;1;3;3;3;4;1;4;1;3;1;4;3;3;4;1;3;3;1;2;1;3;1;3;4;4;4;4;2;3;3;3;3;3;4;2;4;5;1;3;1;1;3;4;2;3;1; ;12;3;1;1971;10;91;7,229032708
3780;1;141;1;1;2;4;4;1;3;1;4;2;1;4;2;3;1;1;4;1;2;2;1;2;2;2;1;3;3;3;4;2;2;1;3;4;4;3;2;2;3;1;2;3;2;5;3;1;3;4;2;1;2;2;2;4;1;5;2;3;3;4;3;3;2;3;2;2;1;4;3;4;3;2;3;4;3;5;3;3;4;3;2;2;2;1;6;5;6;6;6;6;1;6;1;6;6;6;2;2;6;6;6;6;2;4;3;3;4;4;2;5;1;5;2;1;3;3;3;3;2;3;2;3;2;2;3;1;1;1;2;4;5;3;5;3;5;5;5;5;5;4;4;5;3;3;2;5;4;3;2;5;5;2;2;2;3;2;1;1;3;3;1;1;3;2;5;4;5;3;1;3;1;1;2;3;1;1;3;1;4;1;1;1;3;3;4;1;1;3;3;1;4;1;2;1;3;1;1;4;1;1;4;3;3;4;1;1;2;6;5;1;3;4;1;3;4;8;2;1; ;1;3;1;1948;4;91;,301942
3780;1;142;1;2;1;5;5;1;1;1;2;2;1;3;1;1;2;1;5;2;1;1;1;4;1;1;1;2;2;2;4;1;4;1;1;2;2;5;1;1;5;4;4;2;1;5;2;1;2;3;1;1;1;1;4;2;1;5;5;5;2;5;2;2;2;3;3;2;1;1;1;1;2;3;2;1;1;3;3;5;5;2;5;5;1;1;6;5;1;1;1;1;1;5;1;1;4;4;3;2;3;3;1;2;2;5;4;5;5;5;1;4;1;5;4;5;5;1;4;4;4;2;1;4;1;1;2;1;2;1;1;2;5;1;5;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;1;1;1;1;2;2;1;2;2;3;1;1;1;2;1;2;2;1;3;3;3;1;1;1;3;3;1;3;1;3;2;2;1;3;2;2;1;1;3;3;1;3;1;3;1;3;2;1;2;2;1;3;3;3;3;1;1;1;6;5;1;5;4;1;3;5;8;3;1; ;3;3;1;1948;11;91;,301942
3780;1;143;2;1;1;4;4;4;2;2;2;1;1;2;2;2;2;1;4;1;2;2;4;2;2;2;2;5;4;2;4;1;2;1;3;1;2;5;2;2;4;4;4;2;1;5;2;2;2;4;4;1;1;1;2;4;2;5;4;4;4;4;4;4;2;4;4;3;4;2;2;1;1;1;3;2;2;2;1;5;4;4;5;5;1;1;3;5;1;2;1;1;1;3;1;1;3;5;1;2;3;4;2;2;3;3;3;4;4;2;2;4;1;5;4;4;4;1;4;3;3;4;1;4;1;2;2;2;2;2;1;4;5;2;5;2;2;5;5;4;4;2;2;4;4;2;2;1;1;2;1;1;2;2;2;2;1;2;2;2;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;3;3;1;3;3;3;1;2;1;3;3;1;1;1;3;3;1;3;1;3;1;3;2;3;3;1;1;3;3;3;3;1;1;2;6;1;9;4;4;1;2;1;5;3;1; ;3;3;1;1956;9; ;2,330450474
3780;1;144;4;5;1;4;5;1;4;1;4;5;1;5;2;2;2;4;5;4;1;1;1;5;2;3;5;3;1;5;5;2;3;4;1;2;1;5;1;1;2;3;1;5;1;1;1;1;1;3;1;2;1;1;4;4;4;5;5;5;1;5;1;1;1;4;1;1;1;5;4;4;5;5;5;2;5;5;5;5;5;1;4;1;3;3;1;4;1;1;1;1;1;3;3;1;2;2;1;1;2;5;2;1;3;5;3;4;2;1;1;1;1;4;3;1;5;1;4;1;1;1;1;5;1;1;2;1;1;1;1;1;5;1;5;1;2;4;4;4;4;4;2;4;4;5;4;1;2;4;2;4;5;4;2;4;5;2;5;5;5;5;2;5;2;4;5;1;4;4;5;4;2;1;2;3;3;1;3;2;3;3;3;1;2;3;3;1;1;3;3;1;3;1;3;1;3;3;1;3;1;2;3;3;3;3;2;5;1;6;5;5;4;4;1;2;5;2;2;2;3;3;4;1;1954;9;837;,783442725
3780;1;145;1;4;2;5;4;1;4;2;3;2;4;3;1;2;3;1;2;2;2;5;5;1;4;2;2;2;4;1;2;1;3;1;4;4;4;5;4;5;3;5;3;1;2;4;3;1;4;3;4;1;2;3;1;5;1;4;2;1;4;4;3;3;3;4;4;4;6;1;1;1;3;3;4;4;4;4;4;5;5;5;3;5;2;1;4;5;2;3;2;4;1;4;3;3;5;5;3;2;3;4;2;2;3;4;4;1;4;1;1;1;2;5;3;1;4;3;4;3;5;4;2;3;1;1;2;1;1;1;4;2;5;1;5;2;3;3;3;1;2;1;1;3;3;4;2;4;1;2;4;1;1;4;4;4;5;5;1;2;2;1;1;2;1;2;1;1;2;5;4;4;1;1;1;4;1;1;4;1;2;2;1;2;3;1;1;1;1;2;2;2;2;1;3;1;3;2;1;1;1;1;4;4;1;1;2;2;1;3;4;5;4;1;1;2;3;4;2;2;1;12;3;1;1986;4;536;2,290837107
3780;1;146;2;4;3;4;3;3;3;3;4;3;1;5;2;3;2;4;3;2;2;2;2;3;2;3;3;3;3;3;4;4;3;1;3;4;4;4;4;3;3;4;3;3;3;4;5;3;3;2;2;2;2;3;4;3;3;4;3;3;3;4;3;2;2;3;3;2;1;1;1;1;4;4;1;1;4;5;5;3;5;3;1;3;2;1;3;4;2;3;2;1;1;4;2;2;6;3;6;1;3;5;2;3;6;4;6;3;4;3;2;3;2;5;2;3;3;2;3;3;3;3;2;3;3;2;2;1;2;2;3;4;5;3;4;3;4;5;5;3;5;3;2;5;3;4;3;3;3;3;3;5;3;2;3;3;4;4;1;2;3;2;1;2;2;1;4;3;5;3;3;5;2;1;4;4;1;1;4;1;1;1;4;1;4;1;1;1;1;4;1;4;4;1;3;4;3;1;1;1;1;4;4;4;4;4;3;6;2;6;4;1;5;4;1;3;5;8;3;1; ;8;6;1;1954;3;444;,3625244
3780;1;147;2;4;4;4;3;1;2;2;4;2;5;3;3;3;1;3;2;2;2;2;3;2;3;2;3;4;2;3;1;2;3;1;3;3;2;5;2;4;4;3;3;2;3;2;2;2;3;4;2;2;3;3;2;5;4;3;1;3;3;4;3;3;2;4;4;3;1;2;1;2;3;2;3;2;2;5;5;3;5;3;3;2;2;1;3;4;2;2;1;1;1;2;1;1;4;4;2;1;2;3;2;4;2;4;3;3;2;2;2;3;4;3;2;2;3;3;3;2;3;4;3;3;3;2;2;2;4;4;3;3;4;4;5;2;5;5;5;5;2;2;3;3;3;4;3;4;4;5;4;5;5;4;4;5;5;3;4;4;3;3;2;5;3;2;5;3;5;3;4;3;2;1;1;4;3;4;2;1;4;2;4;4;3;4;4;2;1;4;2;1;3;1;3;1;2;2;1;2;4;2;4;4;4;4;2;1;2;6;3;1;2;4;1;2;4;8;4;1; ;1;3;1;1947;7;505;,3625244
3780;1;148;5;5;2;5;5;2;5;5;4;5;1;5;1;1;4;5;5;5;4;1;1;5;1;3;5;5;3;5;5;5;4;4;1;1;1;5;1;1;5;1;4;5;1;1;2;1;1;1;1;5;2;1;5;2;5;3;5;5;1;5;1;1;1;1;1;1;2;2;2;2;5;5;5;4;4;5;5;5;5;1;5;5;5;2;1;2;2;2;2;3;2;2;2;1;1;1;2;1;3;4;2;1;2;5;3;5;2;1;1;2;2;1;2;2;3;1;4;2;2;2;5;5;4;1;1;1;1;1;1;5;5;1;5;1;5;5;5;5;5;5;5;5;2;5;5;1;2;4;4;4;5;5;5;5;5;1;5;5;5;5;5;5;5;4;5;5;5;5;5;5;4;3;1;3;3;1;2;1;1;1;2;1;2;1;3;1;1;3;3;4;3;1;3;1;3;3;1;1;1;1;4;3;3;3;5;5;1;4;3;16;1;1;1;2;4;3;4;2;3;2;3;1;1969;8;305;4,785502677
3780;1;149;4;2;3;4;4;2;4;2;4;3;4;4;2;4;2;2;2;2;2;2;2;4;4;2;2;4;2;3;4;4;2;2;4;3;2;4;2;3;3;3;4;4;4;2;2;2;3;2;2;2;2;2;2;4;2;4;2;3;2;4;3;2;2;3;3;3;1;2;4;2;5;5;5;3;3;5;5;5;5;5;3;4;2;1;2;4;1;2;1;2;1;3;1;1;4;4;2;2;3;3;2;2;3;4;3;4;2;4;2;2;4;5;3;2;2;2;3;4;2;4;3;2;4;2;2;2;2;2;4;5;5;4;5;4;5;5;5;5;5;2;2;4;5;5;4;4;4;5;5;5;5;5;4;5;5;4;2;4;5;1;4;2;1;2;4;4;2;5;4;5;2;1;2;3;4;1;2;1;2;2;1;1;3;1;2;1;1;3;2;1;4;1;3;1;3;1;1;2;1;3;3;4;4;4;1;6;2;6;3;2;2;4;1;3;6;8;4;1; ;8;2;1;1953;7;423;,3486812
3780;1;150;2;4;1;5;4;4;2;2;4;2;1;4;4;2;2;4;5;2;2;1;2;5;1;1;3;4;2;3;5;1;3;1;2;4;4;2;2;1;4;4;4;5;1;2;2;2;2;4;1;1;2;2;2;2;4;5;5;4;1;5;3;2;2;3;3;3;3;2;1;4;4;3;4;1;1;3;4;5;5;3;4;5;3;2;1;5;3;1;2;2;1;3;2;1;5;2;2;1;2;4;2;3;2;5;3;4;2;2;1;2;1;5;1;1;5;1;3;2;4;2;1;4;1;1;2;1;1;1;1;4;5;2;5;1;4;4;2;4;2;2;4;5;5;5;5;5;4;5;4;2;5;1;2;4;5;2;4;4;2;2;1;4;2;2;5;2;3;2;2;3;1;1;1;2;3;2;2;1;2;3;3;1;3;2;3;1;1;3;3;1;2;1;1;1;3;2;1;1;3;1;3;3;3;2;1;2;2;6;5;5;4;4;1;3;6;8;3;1; ;4;4;1;1953;5;837;,659309614
3780;1;151;3;5;2;5;5;2;3;1;3;3;3;3;3;3;2;2;2;3;2;1;4;4;4;3;4;2;4;4;2;2;2;2;3;3;3;5;3;4;4;4;3;4;2;2;1;2;1;3;1;2;2;2;3;2;2;4;2;4;1;5;3;3;2;3;3;2;2;2;2;3;2;4;4;4;2;2;2;5;5;4;3;4;3;1;3;5;3;1;3;3;3;3;2;3;3;3;2;1;3;4;2;2;2;3;3;3;2;1;1;1;1;5;3;1;3;3;5;3;5;1;2;4;2;1;3;1;1;1;1;5;5;1;5;3;5;5;5;3;3;3;3;3;3;5;3;3;3;1;5;5;5;5;5;5;5;3;5;5;4;2;1;5;1;1;5;2;5;1;5;5;1;1;2;2;2;2;2;1;2;2;2;2;2;3;3;2;2;3;3;2;2;2;2;1;3;2;1;2;2;1;2;2;2;2;4;4;2;5;4;3;3;4;1;2;4;10;4;1; ;2;3;1;1966;10;684;2,099830671
3780;1;152;5;3;1;3;3;5;3;1;3;5;3;5;2;4;3;5;3;5;1;1;1;5;3;3;2;5;4;3;5;2;3;5;3;4;3;5;3;2;3;3;3;5;1;4;1;3;3;2;3;3;3;3;5;3;5;4;3;3;1;5;4;4;5;4;4;4;1;5;4;5;4;5;5;5;5;5;5;5;5;3;3;1;4;4;1;3;2;1;1;1;1;3;2;1;1;3;3;2;3;4;2;3;2;4;3;3;4;1;1;3;1;3;4;1;3;3;3;4;1;1;1;4;1;1;2;1;4;1;1;1;5;1;5;1;3;3;3;2;3;1;3;4;5;2;1;1;3;3;1;5;3;2;1;3;4;1;5;5;5;5;5;5;5;5;5;5;5;1;2;3;2;2;1;1;1;1;4;1;1;1;4;1;2;1;2;3;1;3;4;1;4;1;2;1;3;4;1;4;1;1;4;3;1;3;5;5;1;3;5;5;2;1;1;2;5;3;2;2;1;3;2;1;1981;10;837;3,208990721
3780;1;153;2;1;2;5;3;1;1;2;4;2;1;2;2;2;1;1;4;2;1;1;2;5;2;1;1;5;4;3;4;5;2;1;3;4;4;5;1;2;3;5;3;4;2;4;4;1;2;4;1;1;2;1;2;3;2;3;4;4;1;5;3;3;2;3;4;3;2;1;1;1;1;1;5;1;5;5;4;5;5;4;4;5;1;1;3;5;3;2;3;1;1;3;1;2;5;5;2;1;3;6;2;2;2;4;4;4;3;3;2;3;2;5;3;3;5;2;3;3;2;4;1;4;1;3;3;3;3;2;2;5;5;3;5;2;5;5;5;5;2;2;2;2;3;4;1;4;2;4;2;4;5;2;5;5;3;4;2;5;5;3;1;1;1;1;1;2;1;1;5;3;1;1;4;3;1;1;4;1;1;4;4;1;3;4;1;1;1;3;2;2;1;1;3;1;3;4;1;2;1;2;3;3;3;4;2;6;2;2;3;6;5;4;2;3;5;7;3;2;3;4;3;1;1988;10;98;1,142257148
3780;1;154;2;2;3;4;3;2;3;3;3;2;5;4;5;3;2;2;2;3;3;3;4;3;4;2;2;4;3;1;1;3;2;2;3;3;2;3;2;4;3;4;3;4;3;4;3;3;3;2;3;1;3;2;3;3;2;3;2;4;4;3;4;3;2;3;3;2;4;2;2;2;3;4;4;3;3;5;5;5;5;5;2;4;1;1;3;4;3;3;2;1;1;1;1;2;4;4;2;2;3;2;2;2;2;4;4;1;2;2;2;2;2;4;4;3;3;4;4;3;2;3;3;3;3;2;2;1;1;1;2;3;5;4;3;2;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;5;5;3;1;1;3;3;2;1;3;2;2;3;3;5;2;5;1;1;1;3;3;1;2;1;3;1;1;1;3;4;4;1;1;4;4;1;4;1;3;1;3;1;1;1;1;1;4;4;4;4;1;1;2;3;5;1;1;1;1;3;5;4;3;1; ;5;1;1;1979;7;91;,301942
3780;1;155;2;4;1;4;3;2;3;2;2;4;3;4;4;2;1;1;4;2;1;2;4;2;2;2;4;4;2;2;4;2;3;2;4;4;2;5;4;2;5;3;4;2;1;3;2;1;1;4;3;2;4;1;2;2;4;4;4;3;2;5;1;1;2;2;2;3;4;1;1;2;2;5;5;1;3;5;2;5;5;2;4;5;1;1;3;4;3;2;1;2;1;4;1;4;5;4;3;2;3;4;2;3;2;4;4;2;2;4;4;2;4;5;2;2;3;3;4;2;5;2;2;2;2;2;2;1;1;1;2;5;5;3;3;2;5;5;5;5;5;5;5;3;4;5;4;4;5;5;4;5;5;5;4;5;4;3;1;5;2;2;1;2;1;2;4;2;2;5;5;4;2;1;1;3;1;1;2;1;3;3;1;1;3;2;1;1;1;3;3;1;3;1;3;1;3;1;1;1;1;2;1;2;3;3;1;1;2;3;3;1;2;1;1;2;3;4;4;1; ;3;3;1;1986;9;927;,3625244
3780;1;156;1;4;3;5;4;2;2;1;2;2;1;4;1;1;2;1;4;2;2;4;4;2;4;1;4;3;3;3;4;4;4;2;4;4;4;4;3;4;4;5;3;2;3;3;3;3;3;4;3;1;2;2;2;5;2;4;5;3;5;5;3;3;2;3;3;3;1;1;1;1;3;3;4;3;5;5;5;5;5;3;3;3;1;1;5;5;3;2;2;1;2;4;1;4;5;5;3;1;2;4;2;3;2;4;4;3;2;4;4;3;4;5;2;3;4;3;4;2;5;3;3;3;3;2;2;2;4;2;5;3;5;4;5;3;5;5;3;5;5;4;4;2;2;4;5;5;2;3;5;5;1;5;5;5;5;4;2;1;3;4;3;1;3;1;1;4;1;1;5;3;1;1;3;3;1;2;3;1;2;2;1;1;2;2;1;1;1;3;2;1;2;1;3;1;3;1;2;3;1;1;3;2;2;2;1;2;2;3;5;1;4;2;1;3;6;2;3;2;3;5;3;1;1977;6;91;,301942
3780;1;157;1;5;5;4;4;1;2;3;4;1;5;3;3;3;1;3;1;1;5;5;5;1;5;3;2;4;2;1;1;5;4;1;5;5;4;5;4;5;3;5;2;1;5;2;5;3;5;4;5;1;2;5;2;5;1;3;1;1;5;3;3;3;3;3;3;3;2;2;1;1;1;1;2;2;1;3;3;5;5;5;1;5;4;1;5;5;3;3;3;4;1;3;1;5;4;3;3;2;3;3;3;4;3;3;3;4;2;3;2;3;4;4;3;3;4;2;3;3;3;4;4;2;2;2;2;2;2;1;1;5;5;4;4;5;5;5;5;5;5;5;5;5;2;2;1;3;1;1;5;5;5;5;5;5;5;5;2;2;3;2;1;3;3;1;2;1;4;1;2;2;2;1;1;1;1;1;2;1;2;1;1;1;2;1;1;1;1;1;2;2;2;1;2;1;4;1;1;2;1;1;2;1;1;1;1;1;2;4;3;11;7; ; ;3;4;11;3;1; ;5;3;1;1969;2;167;1,711953752
3780;1;158;2;4;4;4;5;4;1;3;2;2;4;4;2;3;2;2;4;4;1;2;2;3;2;1;2;3;2;4;2;2;2;2;3;4;1;4;2;3;4;4;4;4;1;4;3;3;3;3;2;1;2;2;3;2;2;4;2;2;2;5;2;1;1;3;3;3;1;2;1;3;2;4;4;1;1;5;2;3;5;4;3;3;3;1;2;5;1;3;2;2;1;3;1;2;4;4;3;2;3;4;1;2;1;4;3;4;2;2;1;4;2;5;3;2;5;2;5;5;4;2;2;5;1;2;2;2;2;1;1;2;5;2;4;1;3;5;5;4;4;2;2;3;3;5;2;2;4;2;2;4;4;2;4;5;5;4;4;5;5;2;2;5;3;4;2;2;4;2;5;5;1;1;1;3;3;1;2;1;4;3;3;1;2;3;4;1;1;3;2;1;3;1;3;1;3;3;1;2;2;1;3;3;3;4;2;2;2;3;5;6;4;1;1;3;6;2;2;1; ;3;3;1;1980;9;398;1,406738452
3780;1;159;1;4;4;5;4;2;2;1;4;2;5;4;4;1;2;4;1;2;4;2;4;2;5;3;2;2;2;4;2;5;4;2;4;4;4;5;2;5;4;4;4;2;2;4;1;2;5;2;2;1;2;2;2;4;1;4;2;4;4;5;4;3;1;3;3;2;7;4;2;4;5;4;4;2;4;5;5;4;4;5;2;3;2;3;4;5;3;1;1;3;2;4;1;4;5;4;2;2;2;3;2;3;3;4;3;4;2;4;4;4;3;5;4;5;4;2;2;2;4;4;2;2;4;2;2;2;3;1;2;4;5;4;5;4;4;4;5;5;4;2;2;2;2;2;3;4;2;4;5;2;2;5;4;5;5;4;1;1;4;1;1;1;1;4;2;2;3;1;4;3;1;1;1;2;3;1;3;1;2;1;1;1;3;2;2;1;1;3;2;2;2;1;3;1;3;2;1;2;1;1;3;3;2;2;1;2;1;2;5;1;4;4;1;2;3;10;3;1; ;13;3;1;1989;11;91;6,818061801
3780;1;160;1;4;1;5;5;4;2;2;2;1;1;3;5;1;2;5;5;1;1;3;5;1;2;1;1;4;2;1;5;2;5;1;3;2;4;4;1;5;5;5;3;2;2;3;2;2;3;4;3;1;2;2;1;5;2;5;5;5;5;5;2;2;2;4;4;4;2;1;1;1;1;4;4;1;5;2;5;5;5;5;5;5;1;1;5;5;1;1;1;4;1;6;1;2;6;6;3;2;2;3;3;4;3;3;3;2;2;2;2;2;2;5;5;1;5;2;4;5;5;1;1;5;1;2;2;1;2;1;2;3;5;2;5;4;4;5;5;5;5;2;1;4;1;5;5;5;4;1;2;5;5;2;2;4;5;5;1;4;1;2;1;2;3;1;1;1;1;1;3;3;1;1;1;3;1;1;2;1;4;1;2;1;3;2;2;1;1;3;4;1;4;1;3;1;4;4;1;1;1;1;3;4;3;4;1;1;2;5;5;1;2;1;1;3;6;2;4;1; ;3;4;1;1958;9;49;,301942
